	Date	Open	High	Low	Close	Volume
245	2014-12-29	9216.43	9313.33	9216.43	9286.28	4867306
246	2014-12-30	9299.1	9338.06	9262.7	9268.43	4315769
247	2014-12-31	9260.46	9307.26	9252.31	9307.26	3476527
0	2015-01-05	9292.31	9292.31	9182.02	9274.11	4852267
1	2015-01-06	9209.93	9209.93	9043.44	9048.34	6230285
2	2015-01-07	9051.94	9108.66	9050.54	9080.09	5479103
3	2015-01-08	9154.03	9246.62	9154.03	9238.03	6379855
4	2015-01-09	9247.4	9284.57	9215.58	9215.58	5433889
5	2015-01-12	9198.02	9229.65	9178.3	9178.3	4986250
6	2015-01-13	9162.77	9253.82	9161.71	9231.8	5392992
7	2015-01-14	9235.9	9242.2	9161.71	9180.23	5384948
8	2015-01-15	9197.32	9219.43	9149.1	9165.09	5382422
9	2015-01-16	9245.77	9256.86	9109.46	9138.29	6012829
10	2015-01-19	9183.76	9247.09	9151.82	9174.06	5182409
11	2015-01-20	9188.76	9259.31	9177.48	9251.69	5309477
12	2015-01-21	9283.79	9319.71	9275.68	9319.71	5645662
13	2015-01-22	9336.81	9386.56	9336.81	9369.51	5782452
14	2015-01-23	9422.0	9471.8	9422.0	9470.94	6246155
15	2015-01-26	9474.56	9478.53	9436.47	9477.67	4902892
16	2015-01-27	9505.56	9523.73	9471.19	9521.59	4972156
17	2015-01-28	9503.2	9515.29	9471.31	9510.92	4709303
18	2015-01-29	9479.36	9482.13	9403.75	9426.9	4893263
19	2015-01-30	9452.85	9466.65	9361.91	9361.91	4681307
20	2015-02-02	9368.83	9410.43	9352.19	9386.99	4198820
21	2015-02-03	9394.47	9460.17	9394.47	9448.73	4540480
22	2015-02-04	9477.52	9533.88	9477.52	9513.92	5265101
23	2015-02-05	9511.06	9517.42	9472.42	9512.05	4297455
24	2015-02-06	9521.88	9521.88	9448.65	9456.18	3930850
25	2015-02-09	9465.12	9465.12	9413.18	9421.5	3552049
26	2015-02-10	9405.59	9435.07	9390.13	9393.7	3926336
27	2015-02-11	9430.17	9488.72	9430.17	9462.22	4496931
28	2015-02-12	9496.39	9500.35	9447.19	9496.31	3662319
29	2015-02-13	9500.04	9542.09	9499.97	9529.51	3395867
30	2015-02-24	9582.39	9638.48	9582.39	9629.37	4158918
31	2015-02-25	9655.72	9699.54	9653.77	9699.54	4754236
32	2015-02-26	9687.48	9688.07	9610.59	9622.1	4438632
33	2015-03-02	9665.11	9690.43	9588.36	9601.36	4459205
34	2015-03-03	9628.06	9642.95	9571.64	9605.77	4446559
35	2015-03-04	9596.24	9635.18	9580.78	9621.73	4539189
36	2015-03-05	9627.04	9631.04	9564.44	9595.09	4635460
37	2015-03-06	9587.59	9645.77	9574.55	9645.77	4783179
38	2015-03-09	9617.04	9617.04	9549.76	9562.98	4400900
39	2015-03-10	9566.25	9583.78	9520.33	9536.53	4731732
40	2015-03-11	9503.28	9561.81	9472.54	9523.18	5039426
41	2015-03-12	9537.23	9608.02	9530.74	9596.0	5614913
42	2015-03-13	9608.44	9633.51	9579.35	9579.35	4765227
43	2015-03-16	9583.45	9590.76	9512.91	9512.91	4272083
44	2015-03-17	9555.1	9629.8	9539.44	9539.44	5065590
45	2015-03-18	9563.74	9653.43	9561.5	9653.43	5546829
46	2015-03-19	9668.01	9745.59	9668.01	9736.73	6277815
47	2015-03-20	9706.35	9749.69	9705.32	9749.69	5786926
48	2015-03-23	9759.88	9775.63	9729.81	9758.09	5613302
49	2015-03-24	9759.96	9768.71	9701.33	9731.66	5482580
50	2015-03-25	9739.25	9743.58	9653.47	9667.83	5204949
51	2015-03-26	9579.63	9619.12	9540.03	9619.12	5409431
52	2015-03-27	9593.07	9608.44	9503.72	9503.72	5202683
53	2015-03-30	9533.38	9556.25	9503.53	9521.87	4730427
54	2015-03-31	9568.38	9594.75	9527.87	9586.44	5582681
55	2015-04-01	9575.11	9575.11	9503.53	9507.66	4767155
56	2015-04-02	9535.98	9628.95	9535.98	9600.32	4444159
57	2015-04-07	9619.97	9653.97	9613.33	9641.9	4475869
58	2015-04-08	9646.07	9654.67	9562.0	9571.97	4964321
59	2015-04-09	9597.21	9663.05	9559.71	9568.04	5487812
60	2015-04-10	9626.88	9648.34	9582.84	9617.7	4888368
61	2015-04-13	9622.64	9666.52	9622.59	9666.52	4689419
62	2015-04-14	9646.28	9664.1	9631.19	9642.22	5377952
63	2015-04-15	9629.7	9654.15	9508.14	9540.06	5776807
64	2015-04-16	9578.71	9656.87	9578.71	9656.87	5454887
65	2015-04-17	9608.6	9615.52	9570.93	9570.93	5148406
66	2015-04-20	9541.83	9572.65	9508.57	9552.85	4912281
67	2015-04-21	9554.8	9598.86	9512.64	9533.98	5173309
68	2015-04-22	9549.61	9630.79	9549.61	9613.0	5740755
69	2015-04-23	9655.3	9814.88	9655.3	9797.49	7896791
70	2015-04-24	9839.71	9961.31	9839.71	9913.28	7901237
71	2015-04-27	9941.18	10002.58	9937.04	9973.12	6949305
72	2015-04-28	9998.08	10014.28	9918.01	9956.83	6429869
73	2015-04-29	9934.82	9978.87	9842.5	9853.83	6257225
74	2015-04-30	9841.15	9894.9	9820.05	9820.05	5308551
75	2015-05-04	9853.51	9871.65	9800.48	9845.04	5334499
76	2015-05-05	9849.13	9855.64	9788.13	9820.13	5211353
77	2015-05-06	9780.39	9829.43	9735.94	9818.2	5746814
78	2015-05-07	9789.82	9789.82	9704.11	9704.11	5892695
79	2015-05-08	9724.29	9760.51	9692.0	9692.0	4908798
80	2015-05-11	9763.94	9797.19	9635.88	9663.72	5667335
81	2015-05-12	9637.71	9702.67	9637.21	9680.73	5224330
82	2015-05-13	9697.17	9743.33	9687.66	9724.11	5616365
83	2015-05-14	9730.33	9734.55	9600.24	9610.83	5719427
84	2015-05-15	9638.06	9644.83	9552.86	9579.48	4901351
85	2015-05-18	9603.75	9612.44	9550.76	9606.1	5186520
86	2015-05-19	9623.95	9722.8	9623.95	9716.77	6558000
87	2015-05-20	9726.02	9736.09	9662.86	9685.31	6006601
88	2015-05-21	9647.53	9647.53	9536.16	9578.56	5495831
89	2015-05-22	9606.51	9674.77	9606.51	9638.8	5692444
90	2015-05-25	9654.28	9654.28	9589.32	9645.17	4733534
91	2015-05-26	9688.31	9724.36	9649.62	9669.41	5040137
92	2015-05-27	9666.89	9710.29	9648.71	9693.54	5959614
93	2015-05-28	9741.57	9766.21	9704.93	9712.84	6343828
94	2015-05-29	9727.59	9747.27	9693.0	9701.07	6496284
95	2015-06-01	9688.13	9692.34	9589.09	9625.69	5117913
96	2015-06-02	9619.88	9657.02	9584.56	9614.26	5518704
97	2015-06-03	9617.75	9645.48	9550.44	9556.52	5909994
98	2015-06-04	9537.09	9558.77	9325.01	9348.63	7512610
99	2015-06-05	9328.02	9371.41	9272.94	9340.13	6120810
100	2015-06-08	9324.22	9419.22	9258.98	9368.43	5366753
101	2015-06-09	9346.11	9363.52	9191.87	9191.87	6363723
102	2015-06-10	9246.66	9334.5	9246.66	9298.5	5573210
103	2015-06-11	9330.99	9358.48	9251.18	9302.49	5385056
104	2015-06-12	9304.75	9339.33	9263.41	9301.93	4438188
105	2015-06-15	9304.66	9324.94	9252.34	9259.48	4136644
106	2015-06-16	9272.7	9272.7	9177.95	9212.78	4506250
107	2015-06-17	9232.81	9242.22	9170.09	9189.83	5035577
108	2015-06-18	9189.44	9243.84	9187.87	9218.37	4579457
109	2015-06-22	9247.76	9371.48	9247.76	9341.77	4879223
110	2015-06-23	9375.78	9438.39	9375.78	9391.14	5460133
111	2015-06-24	9390.27	9409.44	9364.38	9397.31	4657385
112	2015-06-25	9415.78	9500.57	9415.78	9476.34	5302137
113	2015-06-26	9481.95	9489.91	9442.94	9462.57	4405168
114	2015-06-29	9358.96	9358.96	9227.11	9236.1	4934402
115	2015-06-30	9223.27	9323.02	9204.45	9323.02	4683208
116	2015-07-01	9311.76	9404.76	9298.36	9375.23	4656513
117	2015-07-02	9372.46	9400.68	9350.05	9379.24	4797356
118	2015-07-03	9369.5	9369.5	9265.14	9358.23	4646006
119	2015-07-06	9309.86	9347.54	9255.96	9255.96	4427633
120	2015-07-07	9278.33	9332.97	9244.46	9250.16	4996360
121	2015-07-08	9225.91	9225.91	8946.75	8976.11	7466454
122	2015-07-09	8861.28	8946.24	8750.92	8914.13	7077500
123	2015-07-13	8946.72	9041.88	8946.72	9033.92	5739250
124	2015-07-14	9061.58	9124.76	9041.76	9041.76	5790554
125	2015-07-15	9063.54	9089.47	9005.1	9054.2	4863624
126	2015-07-16	9062.76	9085.31	9021.82	9042.21	4748227
127	2015-07-17	9060.92	9079.23	9018.0	9045.98	4319096
128	2015-07-20	9085.0	9124.88	8952.64	8975.0	4855463
129	2015-07-21	8997.56	9010.71	8940.38	9005.96	4799326
130	2015-07-22	8955.59	8968.39	8896.1	8918.7	4619017
131	2015-07-23	8865.36	8895.88	8751.71	8791.12	5768014
132	2015-07-24	8809.65	8811.76	8733.43	8767.86	4406134
133	2015-07-27	8733.24	8733.24	8553.09	8556.68	5521284
134	2015-07-28	8566.42	8635.88	8532.0	8582.49	5775877
135	2015-07-29	8587.7	8619.41	8516.23	8563.48	5454927
136	2015-07-30	8567.23	8697.18	8567.23	8651.49	5572493
137	2015-07-31	8670.92	8676.29	8591.37	8665.34	4714909
138	2015-08-03	8636.53	8636.53	8482.92	8524.41	4456854
139	2015-08-04	8538.44	8590.3	8433.92	8510.86	5903371
140	2015-08-05	8504.94	8563.01	8486.27	8542.27	4970382
141	2015-08-06	8564.55	8586.24	8404.67	8449.56	5123559
142	2015-08-07	8409.01	8458.04	8368.4	8442.29	4117657
143	2015-08-10	8410.63	8484.18	8374.08	8466.84	4768399
144	2015-08-11	8542.13	8586.22	8393.08	8394.14	5618074
145	2015-08-12	8365.15	8376.59	8235.95	8283.38	5511020
146	2015-08-13	8284.96	8348.39	8271.69	8311.74	5227215
147	2015-08-14	8315.14	8343.98	8283.35	8305.64	4284159
148	2015-08-17	8307.9	8308.54	8213.42	8213.42	4005646
149	2015-08-18	8237.08	8277.22	8166.77	8177.22	4431352
150	2015-08-19	8182.81	8182.81	7987.57	8021.84	5729045
151	2015-08-20	8008.68	8063.8	7951.72	8029.81	4817633
152	2015-08-21	7941.95	7941.95	7786.92	7786.92	5463799
153	2015-08-24	7719.63	7719.63	7203.07	7410.34	7568799
154	2015-08-25	7427.36	7677.93	7368.47	7675.64	6329377
155	2015-08-26	7636.12	7762.45	7547.61	7715.59	5671328
156	2015-08-27	7762.63	7856.4	7762.63	7824.55	5626661
157	2015-08-28	7923.77	8039.76	7923.77	8019.18	5324229
158	2015-08-31	8026.62	8174.92	7961.77	8174.92	4883034
159	2015-09-01	8117.5	8119.9	8002.18	8017.56	4641178
160	2015-09-02	7970.4	8068.06	7907.31	8035.29	4825522
161	2015-09-03	8071.37	8101.13	8007.48	8095.95	4990186
162	2015-09-04	8087.62	8128.23	7990.86	8000.6	4737411
163	2015-09-07	7990.76	8053.2	7957.8	7986.56	3680391
164	2015-09-08	7993.1	8031.26	7978.78	8001.5	3699914
165	2015-09-09	8097.22	8296.13	8097.22	8286.92	6099425
166	2015-09-10	8247.64	8274.82	8214.5	8268.68	4568406
167	2015-09-11	8271.25	8313.18	8233.14	8305.82	3965525
168	2015-09-14	8332.57	8360.03	8259.31	8307.29	3831432
169	2015-09-15	8320.22	8327.95	8226.07	8259.99	3542239
170	2015-09-16	8298.13	8342.36	8276.94	8333.29	4025188
171	2015-09-17	8377.31	8467.15	8377.31	8445.5	4910655
172	2015-09-18	8427.52	8488.53	8399.71	8462.14	4556547
173	2015-09-21	8404.5	8404.5	8285.43	8307.04	3775388
174	2015-09-22	8331.44	8365.92	8325.78	8365.92	3812436
175	2015-09-23	8310.82	8310.82	8186.22	8193.42	4206525
176	2015-09-24	8224.23	8257.14	8101.9	8123.1	4252300
177	2015-09-25	8131.49	8152.5	8061.87	8132.35	3660074
178	2015-09-30	8097.15	8181.24	8059.68	8181.24	4385018
179	2015-10-01	8194.3	8317.79	8170.78	8295.94	4752303
180	2015-10-02	8290.43	8320.66	8253.75	8305.03	3917344
181	2015-10-05	8342.99	8364.59	8316.83	8352.36	4196667
182	2015-10-06	8409.31	8482.83	8390.89	8394.1	5035678
183	2015-10-07	8398.53	8495.23	8385.04	8495.23	4977767
184	2015-10-08	8528.46	8544.93	8434.5	8445.96	4582747
185	2015-10-12	8478.34	8578.22	8478.34	8573.72	4663975
186	2015-10-13	8571.57	8574.11	8518.41	8567.92	4628841
187	2015-10-14	8545.14	8553.87	8515.53	8522.51	4661254
188	2015-10-15	8573.38	8652.47	8573.38	8601.52	4925269
189	2015-10-16	8596.43	8627.83	8574.64	8604.95	4770761
190	2015-10-19	8628.79	8670.32	8603.08	8631.5	4169249
191	2015-10-20	8651.08	8663.12	8618.48	8653.6	4402455
192	2015-10-21	8668.08	8690.39	8591.42	8609.23	4797422
193	2015-10-22	8600.4	8631.17	8594.21	8608.46	4318482
194	2015-10-23	8671.52	8740.08	8662.03	8673.81	4431880
195	2015-10-26	8706.81	8757.14	8706.81	8745.36	4041409
196	2015-10-27	8724.0	8733.53	8662.77	8701.32	4557627
197	2015-10-28	8679.24	8714.01	8632.38	8665.99	4351137
198	2015-10-29	8682.58	8704.59	8568.13	8571.08	4608149
199	2015-10-30	8578.25	8586.9	8503.69	8554.31	4366502
200	2015-11-02	8571.53	8614.77	8524.01	8614.77	3978030
201	2015-11-03	8643.21	8728.06	8643.21	8713.19	5032940
202	2015-11-04	8759.94	8864.17	8754.18	8857.02	6321826
203	2015-11-05	8858.73	8871.87	8828.04	8850.18	5688577
204	2015-11-06	8857.61	8857.61	8671.89	8693.57	5328087
205	2015-11-09	8702.67	8746.28	8623.7	8642.48	4800751
206	2015-11-10	8614.55	8614.55	8529.54	8536.9	4486788
207	2015-11-11	8543.63	8557.69	8415.01	8415.01	4958427
208	2015-11-12	8426.76	8467.31	8374.07	8428.09	4524702
209	2015-11-13	8402.11	8453.04	8329.5	8329.5	3995281
210	2015-11-16	8278.12	8312.06	8217.34	8295.4	4162988
211	2015-11-17	8369.14	8471.89	8369.14	8419.42	4701111
212	2015-11-18	8432.25	8455.14	8326.72	8340.47	4434536
213	2015-11-19	8382.09	8477.2	8357.2	8477.2	4519431
214	2015-11-20	8472.65	8484.06	8434.33	8465.45	3802180
215	2015-11-23	8480.59	8503.08	8450.01	8485.73	3526392
216	2015-11-24	8472.24	8497.83	8397.44	8400.14	4230827
217	2015-11-25	8407.54	8426.62	8352.17	8386.13	4080689
218	2015-11-26	8411.16	8510.7	8411.16	8484.9	4189963
219	2015-11-27	8493.18	8505.08	8397.49	8398.4	3541567
220	2015-11-30	8339.83	8339.83	8239.0	8320.61	5703618
221	2015-12-01	8359.27	8463.3	8339.5	8463.3	4472591
222	2015-12-02	8475.96	8497.19	8441.28	8457.4	4638307
223	2015-12-03	8424.54	8484.52	8393.29	8456.06	4456284
224	2015-12-04	8423.7	8423.7	8355.75	8398.6	4023683
225	2015-12-07	8432.47	8535.36	8432.47	8454.27	4093597
226	2015-12-08	8442.06	8453.63	8335.67	8343.86	4374180
227	2015-12-09	8329.86	8343.37	8229.62	8229.62	4660580
228	2015-12-10	8214.27	8228.43	8133.42	8216.17	4578151
229	2015-12-11	8217.33	8253.11	8108.68	8115.89	4394623
230	2015-12-14	8058.67	8068.98	7980.59	8040.16	3945349
231	2015-12-15	8074.48	8140.06	8073.35	8073.35	3902011
232	2015-12-16	8144.03	8204.2	8121.06	8184.66	4592907
233	2015-12-17	8214.62	8319.67	8214.62	8319.67	5006589
234	2015-12-18	8272.41	8317.48	8241.32	8257.32	4300834
235	2015-12-21	8228.05	8289.59	8191.53	8282.17	4648276
236	2015-12-22	8283.03	8316.44	8261.72	8292.74	4392405
237	2015-12-23	8296.58	8359.25	8296.58	8315.7	4533440
238	2015-12-24	8351.2	8393.41	8324.36	8324.36	3875484
239	2015-12-25	8328.94	8364.3	8320.1	8363.28	2699121
240	2015-12-28	8374.18	8394.6	8358.49	8358.49	2661228
241	2015-12-29	8349.27	8351.16	8286.84	8293.91	2947257
242	2015-12-30	8313.37	8342.34	8262.52	8279.99	3048259
243	2015-12-31	8273.77	8338.06	8258.73	8338.06	2499013
